Date,Confirmed,Deaths,Death Rate(%),IncreaseDeath,Inc_Test,Inc_Case,Inc_Recovered,Total_Tests,Death15,Estimated,Adjusted
2020-03-11,1,0,0.0,0,0,1,0,0,16,,
2020-03-12,1,0,0.0,0,0,0,0,0,17,,
2020-03-13,5,0,0.0,0,0,4,0,0,16,,
2020-03-14,5,0,0.0,0,0,0,0,0,23,,
2020-03-15,6,0,0.0,0,0,1,0,0,37,,
2020-03-16,18,0,0.0,0,0,12,0,0,46,,
2020-03-17,47,1,2.127659574468085,1,0,29,0,0,63,,
2020-03-18,98,1,1.020408163265306,0,0,51,0,0,79,,
2020-03-19,192,3,1.5625,2,0,94,0,0,69,,
2020-03-20,359,4,1.1142061281337048,1,0,167,0,0,76,,
2020-03-21,670,9,1.343283582089552,5,0,311,0,0,73,,
2020-03-22,1236,30,2.4271844660194173,21,0,566,0,0,75,,
2020-03-23,1529,37,2.419882275997384,7,0,293,0,0,76,,
2020-03-24,1872,44,2.3504273504273505,7,0,343,0,0,87,,
2020-03-25,2433,59,2.424989724619811,15,0,561,0,0,96,,
2020-03-26,3629,75,2.066685037200331,16,0,1196,0,0,98,,
2020-03-27,5698,92,1.6146016146016149,17,7533,2069,0,47823,95,,
2020-03-28,7402,108,1.4590651175358011,16,7641,1704,0,55464,97,,
2020-03-29,9217,131,1.421286752739503,23,9982,1815,0,65446,98,,
2020-03-30,10827,168,1.5516763646439458,37,11535,1610,0,76981,107,,
2020-03-31,13531,214,1.5815534698100655,46,15422,2704,0,92403,115,,
2020-04-01,15679,277,1.7666943044837045,63,14396,2148,0,106799,125,,
2020-04-02,18135,356,1.9630548662806728,79,18757,2456,0,125556,126,,
2020-04-03,20921,425,2.031451651450696,69,16160,2786,0,141716,121,,
2020-04-04,23934,501,2.0932564552519426,76,19664,3013,302,161380,127,,
2020-04-05,27069,574,2.1205068528575124,73,20065,3135,256,181445,123,,
2020-04-06,30217,649,2.1477975973789585,75,21400,3148,284,202845,119,,
2020-04-07,34109,725,2.1255387141223725,76,20023,3892,256,222868,117,,
2020-04-08,38226,812,2.124208653795846,87,24900,4117,264,247768,115,,
2020-04-09,42282,908,2.147485927817984,96,28578,4056,296,276346,109,,
2020-04-10,47029,1006,2.1391056582108914,98,30864,4747,281,307210,106,,
2020-04-11,52167,1101,2.110529645177986,95,33170,5138,542,340380,99,,
2020-04-12,56956,1198,2.1033780462111107,97,35720,4789,481,376100,95,,
2020-04-13,61049,1296,2.122884895739488,98,34456,4093,511,410556,92,,
2020-04-14,65111,1403,2.154781834098693,107,33070,4062,842,443626,89,,
2020-04-15,69392,1518,2.187572054415494,115,34090,4281,875,477716,93,,
2020-04-16,74193,1643,2.214494628873344,125,40427,4801,1415,518143,84,,
2020-04-17,78546,1769,2.2521834339113385,126,40270,4353,1542,558413,78,,
2020-04-18,82329,1890,2.295667383303575,121,40520,3783,1822,598933,61,,
2020-04-19,86306,2017,2.337033346464904,127,35344,3977,1523,634277,64,,
2020-04-20,90980,2140,2.3521653110573757,123,39703,4674,1454,673980,59,,
2020-04-21,95591,2259,2.363193187643188,119,39429,4611,1488,713409,64,,
2020-04-22,98674,2376,2.407929140401727,117,37535,3083,1559,750944,57,,
